1514465267000	一个刑警管1杠1叫师姐？逗我呢？	e_3
1459023060000	你是怎么着怎么着我	e_2
1514885199000	天王盖地虎	e_2
1520561458000	1	None
1521115220000	人呢	e_2
1478364396000	0000	None
1519228490000	l	None
1495488775000	2017年5月23日凌晨5点32分留	e_5
1480488468000	神了	e_3
1499847328000	好看	e_3
1489249224000	刚把所有特种部队看完了看完再看霹雳火	e_5
1504072313000	666	e_3
1494347395000	的穿越火线好玩	None
1484361739000	开始秀走位	e_3
1488705635000	主角光环	e_3
1494347410000	谁玩过穿越回去	e_2
1484361769000	这走位牛的不行	e_3
1520335705000	一开始就这么吹……	e_3
1472260523000	任天堂	e_3
1511963018000	我是特种兵片场过来的	e_3
1511540690000	不是高清	e_3
1521809795000	这是武打片吗	e_3
1485889098000	神走位	e_3
1517236068000	eeee	None
1522165405000	自瞄锁头石锤一波	e_3
1506005601000	导演这个地方你要修改一下。。太暴力了。这样不行滴	e_3
1492083683000	欢迎观看特警的爱情力量	e_3
1489840884000	怎么缓存不了	e_2
1482550948000	额	e_3
1520006458000	三级包	None
1517224632000	我好厉害，我的是正品，但为什么做梦我们要打，10k这哪个猪啊	e_3
1460882475000	在做	None
1489572384000	6666666	None
1485447436000	这样射不死他，枪法太烂了。	e_3
1469863938000	特技漫天飞	e_3
1502538086000	主角光环模式	e_3
1470897239000	装逼开始。。。	e_3
1517851612000	开了秒狙挂哈哈哈	e_3
1504188279000	4个adc	e_3
1472260544000	报名	e_5
1516960904000	光头强枪法	e_3
1504072360000	666	e_3
1514898489000	不会又是做噩梦呢吧	e_3
1475762510000	牛	e_3
1487932806000	快来围观，抗日神剧之现代战争	e_3
1483600295000	只想说,枪法好差	e_3
1472260551000	菊花	e_5
1514208163000	日常躲子弹。	e_3
1504188289000	4个adc都打不着	e_3
1483630409000	好假、	e_3
1471436781000	假	e_3
1475560347000	完全是穿越火线	e_3
1469863969000	那么多枪都打不中。。。	e_3
1467585014000	躲子弹233打不到233	e_3
1490176834000	我信了你个邪哦	e_3
1519981254000	他只是在做夢呢	e_3
1520303509000	这么假！一开始我就不想看了	e_3
1498473290000	开挂的	e_3
1489840942000	这么牛逼	e_3
